subdoc_id,date,doc_title,subdoc_title,src_site,src_url,src_parent_url,category
001-1,20221200,国土地理院広報　2022年12月発行　第654号,「令和4年度大規模津波防災総合訓練」に参加,GSI,https://www.gsi.go.jp/common/000245996.pdf,https://www.gsi.go.jp/kohokocho/koho654-top_00001.html,広報誌等
001-2,20221200,国土地理院広報　2022年12月発行　第654号,3年ぶりの「つくば科学フェスティバル2022」に出展,GSI,https://www.gsi.go.jp/common/000245996.pdf,https://www.gsi.go.jp/kohokocho/koho654-top_00001.html,広報誌等
002,20220113,「食から日本を考える。NIPPON　FOOD　SHIFT　FES.山梨」を開催!,None,MAFF,https://www.maff.go.jp/j/press/kanbo/anpo/230113.html,None,報道発表
003,20221222,東京電力福島第一原子力発電所のALPS処理水の現状に関する韓国政府向けのテレビ会議説明会を開催しました,None,METI,https://www.meti.go.jp/press/2022/12/20221222003/20221222003.html,None,報道発表
004-1,20200611,令和2年度「都市景観大賞」各賞の選定~良好な景観に資する地区・活動について、特に優れたものを表彰~,大賞　国土交通大臣賞　南町田グランベリーパーク地区,MLIT,https://www.mlit.go.jp/common/001347545.pdf,https://www.mlit.go.jp/report/press/toshi10_hh_000343.html,報道発表
004-2,20200611,令和2年度「都市景観大賞」各賞の選定~良好な景観に資する地区・活動について、特に優れたものを表彰~,優秀賞　「都市景観の日」実行委員会　会長賞　尾道市景観地区(尾道・向島歴史的風致地区),MLIT,https://www.mlit.go.jp/common/001347545.pdf,https://www.mlit.go.jp/report/press/toshi10_hh_000343.html,報道発表
005,20170300,第2章　地域資源を活用した良好な景観の形成促進方策の検討,1北海道函館市,MLIT,https://www.mlit.go.jp/common/001270459.pdf,https://www.mlit.go.jp/toshi/townscape/toshi_townscape_tk_000041.html,その他資料
006,20230325,「旧奈良監獄」を上質な「文化財ホテル」として整備~旧奈良監獄の保存及び活用に係る公共施設等運営事業を国土交通大臣が認定~,None,MLIT,https://www.mlit.go.jp/report/press/content/001472428.pdf,https://www.mlit.go.jp/report/press/toshi05_hh_000375.html,報道発表
007,00000000,道の記憶　奥州街道-その1　青森県への入り口は大難所・簔ケ坂,None,MLIT,http://www.thr.mlit.go.jp/aomori/study/oosyuu/index.html,None,その他ページ
008,00000000,道の記憶　奥州街道-その2　南部氏の古い城跡が残る三戸町,None,MLIT,http://www.thr.mlit.go.jp/aomori/study/oosyuu/9/p11.html,None,その他ページ
009,20220303,第六章　災害からの観光復興,在住の外国人留学生を活用したインバウンド向け商品造成・海外PRの支援体制の構築,MLIT,https://www.mlit.go.jp/common/001237082.pdf,https://www.mlit.go.jp/kankocho/shisaku/kankochi/ikiiki.html,その他資料
010,20200916,三陸の歴史,None,MLIT,https://www.pa.thr.mlit.go.jp/kamaishi/040/040/20200101012000.html,None,その他ページ
011-1,20220000,令和2年度重点支援DMO取組事例,(特非)阿寒観光協会まちづくり推進機構,MLIT,http://www.mlit.go.jp/kankocho/shisaku/kankochi/content/001422934.pdf,http://www.mlit.go.jp/kankocho/shisaku/kankochi/ikiiki.html,その他資料
011-2,20220000,令和2年度重点支援DMO取組事例,(一社)ひがし北海道自然美への道DMO,MLIT,http://www.mlit.go.jp/kankocho/shisaku/kankochi/content/001422934.pdf,http://www.mlit.go.jp/kankocho/shisaku/kankochi/ikiiki.html,その他資料
011-3,20220000,令和2年度重点支援DMO取組事例,(一社)HAKUBAVALLEY　TOURISM,MLIT,http://www.mlit.go.jp/kankocho/shisaku/kankochi/content/001422934.pdf,http://www.mlit.go.jp/kankocho/shisaku/kankochi/ikiiki.html,その他資料
012-1,20220607,令和4年版環境・循環型社会・生物多様性白書　第1部　総合的な施策等に関する報告　第1章　1.5°Cに向けて,None,ENV,https://www.env.go.jp/policy/hakusyo/r04/html/hj22010101.html,None,白書・青書
012-2,20220607,令和4年版環境・循環型社会・生物多様性白書　第1部　総合的な施策等に関する報告　第1章　1.5°Cに向けて,第1節　世界の気象災害・我が国の気象災害と経済的影響,ENV,https://www.env.go.jp/policy/hakusyo/r04/html/hj22010101.html,None,白書・青書
013,20200731,『大熊・双葉環境まちづくりミーティング』(第1回),『大熊・双葉環境まちづくりミーティング』(第1回)　実施レポート,ENV,http://josen.env.go.jp/plaza/info/event/ohkuma_futaba/report_200719/,None,その他ページ
014-1,20220822,令和四年版　防衛白書　日本の防衛　令和3年　自衛官たちの足跡,パシフィック・クラウン21への参加,MOD,https://www.mod.go.jp/j/publication/wp/wp2022/html/nd500000.html,None,白書・青書
014-2,20220822,令和四年版　防衛白書　日本の防衛　令和3年　自衛官たちの足跡,東京オリンピック開会式の支援に参加して,MOD,https://www.mod.go.jp/j/publication/wp/wp2022/html/nd500000.html,None,白書・青書
015-1,20220802,令和3年度文部科学白書　第2部　第2章　東日本大震災からの復興・創生の進展　第2節　復興を支える人材の育成,None,MEXT,https://www.mext.go.jp/content/20220719-mxt_soseisk02-000024040_202.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpab202001/1420041_00010.htm,白書・青書
015-2,20220802,令和3年度文部科学白書　第2部　第2章　東日本大震災からの復興・創生の進展　第2節　復興を支える人材の育成,1　福島県双葉郡教育復興ビジョン,MEXT,https://www.mext.go.jp/content/20220719-mxt_soseisk02-000024040_202.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpab202001/1420041_00010.htm,白書・青書
015-3,20220802,令和3年度文部科学白書　第2部　第2章　東日本大震災からの復興・創生の進展　第2節　復興を支える人材の育成,2　創造的復興教育の更なる推進に向けて,MEXT,https://www.mext.go.jp/content/20220719-mxt_soseisk02-000024040_202.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpab202001/1420041_00010.htm,白書・青書
015-4,20220802,令和3年度文部科学白書　第2部　第2章　東日本大震災からの復興・創生の進展　第2節　復興を支える人材の育成,3　福島イノベーション・コースト構想の実現に向けた取組,MEXT,https://www.mext.go.jp/content/20220719-mxt_soseisk02-000024040_202.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpab202001/1420041_00010.htm,白書・青書
015-5,20220802,令和3年度文部科学白書　第2部　第2章　東日本大震災からの復興・創生の進展　第2節　復興を支える人材の育成,4　復興を支える研究開発~東北メディカル・メガバンク計画~,MEXT,https://www.mext.go.jp/content/20220719-mxt_soseisk02-000024040_202.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpab202001/1420041_00010.htm,白書・青書
016,20220900,aff　2022　SEPTEMBER　9月号,農山漁村を元気にする　廃校再生プロジェクト,MAFF,https://www.maff.go.jp/j/pr/aff/2209/regeneration04.html,None,広報誌等
017,20220600,令和4年版観光白書　第I部　令和3年観光の動向　　第2章　日本の観光の動向,第6節　地域における観光振興の取組,MLIT,https://www.mlit.go.jp/statistics/content/001615072.pdf,http://www.mlit.go.jp/statistics/file000008.html,白書・青書
018,20231100,地方振興　活力と魅力のある地域づくり,半島トピックス(半島に関する情報を掲載しています),MLIT,https://www.mlit.go.jp/kokudoseisaku/chisei/crd_chisei_tk_000013.html,None,広報誌等
019,19980900,　国会等の移転ホームページ　栃木県現地調査意見聴取議事要旨栃木県現地調査意見聴取議事要旨,5.議事の要旨,MLIT,https://www.mlit.go.jp/kokudokeikaku/iten/information/council/shingi_siryo/980930.html,None,会見・会合記録
020,20210715,東京圏における今後の地下鉄ネットワークのあり方等について　(答申),○　諮問の背景,MLIT,https://www.mlit.go.jp/policy/shingikai/content/001414998.pdf,https://www.mlit.go.jp/policy/shingikai/tetsudo01_sg_000315.html,その他資料
021-1,00000000,道路事業の紹介,道路事業の紹介,MLIT,https://www.thr.mlit.go.jp/iwaki/jigyo/index.html,None,その他ページ
021-2,00000000,道路事業の紹介,None,MLIT,https://www.thr.mlit.go.jp/iwaki/jigyo/index.html,None,その他ページ
022,20221100,第4回千葉北西連絡道路検討会　検討会資料,千葉北西連絡道路の概略計画検討に向けた基本方針(骨子),MLIT,https://www.ktr.mlit.go.jp/ktr_content/content/000844739.pdf,https://www.ktr.mlit.go.jp/chiba/chiba_index046.html,その他資料
023,00000000,新潟県　新潟港,みなとオアシス新潟　食と花のみなとまちにいがた,MLIT,https://www.pa.hrr.mlit.go.jp/minato-oasis/point/63/,None,その他ページ
024,00000000,競争力のある港づくり　広島港　Hiroshima　Port,None,MLIT,https://www.pa.cgr.mlit.go.jp/hiroshima/kyosoryoku/hiroshimako.html,None,その他ページ
025,00000000,水防・治水の歴史　利根川の概要と歴史,None,MLIT,https://www.ktr.mlit.go.jp/tonege/tonege_index016.html,None,その他ページ
026,20230602,令和4年度水産白書　第1部　第1章　我が国の水産物の需給・消費をめぐる動き　(4)水産物貿易の動向,ウ　水産物輸出の拡大に向けた取組,MAFF,https://www.jfa.maff.go.jp/j/kikaku/wpaper/r04_h/trend/1/t1_1_4.html#u,None,白書・青書
027-1,20230600,令和5年版交通政策白書　第1部　第3章　各交通モードの動向　第2節　鉄道交通,(2)幹線鉄道,MLIT,https://www.mlit.go.jp/sogoseisaku/transport/content/001613614.pdf,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_fr_000154.html,白書・青書
027-2,20230600,令和5年版交通政策白書　第1部　第3章　各交通モードの動向　第2節　鉄道交通,(3)都市鉄道,MLIT,https://www.mlit.go.jp/sogoseisaku/transport/content/001613614.pdf,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_fr_000154.html,白書・青書
027-3,20230600,令和5年版交通政策白書　第1部　第3章　各交通モードの動向　第2節　鉄道交通,(4)地域鉄道・LRT,MLIT,https://www.mlit.go.jp/sogoseisaku/transport/content/001613614.pdf,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_fr_000154.html,白書・青書
028-1,20220831,令和4年版交通政策白書　第I部　第3章　第4節　航空交通　(1)航空交通ネットワーク,a.空港の整備状況,MLIT,https://www.mlit.go.jp/sogoseisaku/transport/content/001485343.pdf,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_fr_000129.html,白書・青書
028-2,20220831,令和4年版交通政策白書　第I部　第3章　第4節　航空交通　(1)航空交通ネットワーク,b.首都圏空港(東京国際空港及び成田国際空港)の航空ネットワーク,MLIT,https://www.mlit.go.jp/sogoseisaku/transport/content/001485343.pdf,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_fr_000129.html,白書・青書
028-3,20220831,令和4年版交通政策白書　第I部　第3章　第4節　航空交通　(1)航空交通ネットワーク,c.航空ネットワークの拡大,MLIT,https://www.mlit.go.jp/sogoseisaku/transport/content/001485343.pdf,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_fr_000129.html,白書・青書
029-1,20230613,令和5年版観光白書　第II部　第2章　第2節「地域の観光コンテンツの造成・磨き上げ」　6　公的施設・インフラ,(1)魅力ある公的施設・インフラの大胆な公開・開放,MLIT,https://www.mlit.go.jp/statistics/content/001630306.pdf,https://www.mlit.go.jp:8088/statistics/file000008.html,白書・青書
029-2,20230613,令和5年版観光白書　第II部　第2章　第2節「地域の観光コンテンツの造成・磨き上げ」　6　公的施設・インフラ,(2)灯台を活用した観光振興支援及びインフラツーリズムの推進,MLIT,https://www.mlit.go.jp/statistics/content/001630306.pdf,https://www.mlit.go.jp:8088/statistics/file000008.html,白書・青書
029-3,20230613,令和5年版観光白書　第II部　第2章　第2節「地域の観光コンテンツの造成・磨き上げ」　6　公的施設・インフラ,(3)一般公開・開放された公的施設を活用した訪日プロモーション,MLIT,https://www.mlit.go.jp/statistics/content/001630306.pdf,https://www.mlit.go.jp:8088/statistics/file000008.html,白書・青書
029-4,20230613,令和5年版観光白書　第II部　第2章　第2節「地域の観光コンテンツの造成・磨き上げ」　6　公的施設・インフラ,(4)国民公園の魅力向上,MLIT,https://www.mlit.go.jp/statistics/content/001630306.pdf,https://www.mlit.go.jp:8088/statistics/file000008.html,白書・青書
030-1,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例1:観光快適度の見える化による分散(京都府京都市),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-2,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例2:観光客が多いバス路線への「前乗り後降り方式」の導入(京都府京都市),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-3,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例4:駐車場料金値上げによる財源確保及びイベントの事前予約制導入による混雑緩和(岐阜県白川村),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-4,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例5:マナー啓発動画の制作・放映(沖縄県),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
030-5,20190621,令和元年版観光白書　第II部　第2章「訪日外国人旅行者の増加が観光地に与える影響」　コラムII-9　持続可能な観光先進国に向けて~各地域における先進的な取組事例~,事例7:クルーズ客の増加による混雑への対応(福岡県福岡市),MLIT,https://www.mlit.go.jp/common/001294468.pdf,https://www.mlit.go.jp:8088/statistics/file000008.htmll,白書・青書
031-1,20210528,令和2年度食育白書　第2部　食育推進施策の具体的取組,第5章　生産者と消費者との交流の促進、環境と調和のとれた農林漁業の活性化等,MAFF,https://www.maff.go.jp/j/syokuiku/wpaper/attach/pdf/r2_index-5.pdf,https://www.maff.go.jp/j/syokuiku/wpaper/r2_index.html,白書・青書
031-2,20210528,令和2年度食育白書　第2部　食育推進施策の具体的取組,第6章　食文化の継承のための活動,MAFF,https://www.maff.go.jp/j/syokuiku/wpaper/attach/pdf/r2_index-5.pdf,https://www.maff.go.jp/j/syokuiku/wpaper/r2_index.html,白書・青書
032-1,20221018,令和4年警察白書　第2部　第6章　公安の維持と災害対策　第4節　災害等への対処と警備実施,1　自然災害等への対処,NPA,https://www.npa.go.jp/hakusyo/r04/pdf/09_dai6sho.pdf,https://www.npa.go.jp/hakusyo/r04/pdf/pdfindex.html,白書・青書
032-2,20221018,令和4年警察白書　第2部　第6章　公安の維持と災害対策　第4節　災害等への対処と警備実施,2　警備実施,NPA,https://www.npa.go.jp/hakusyo/r04/pdf/09_dai6sho.pdf,https://www.npa.go.jp/hakusyo/r04/pdf/pdfindex.html,白書・青書
033-1,20230600,令和4年度エネルギーに関する年次報告　(エネルギー白書2023)　第3部　第4章「原子力政策の展開」　第4節　対策を将来へ先送りせず、着実に進める取組,1.高レベル放射性廃棄物等の最終処分に向けた取組,METI,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/3_4.pdf,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/,白書・青書
033-2,20230600,令和4年度エネルギーに関する年次報告　(エネルギー白書2023)　第3部　第4章「原子力政策の展開」　第4節　対策を将来へ先送りせず、着実に進める取組,2.核燃料サイクル政策の推進,METI,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/3_4.pdf,https://www.enecho.meti.go.jp/about/whitepaper/2023/pdf/,白書・青書
034-1,20230300,九州防衞局広報　きゅうしゅう　NO.61,2.自治体紹介(長崎県壱岐市),MOD,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/back/61/61hp.pdf,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/index.html,広報誌等
034-2,20230300,九州防衞局広報　きゅうしゅう　NO.61,4.インフォメーション,MOD,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/back/61/61hp.pdf,https://www.mod.go.jp/rdb/kyushu/kouhoukyushu/index.html,広報誌等
035,20221213,広報誌「ぼうさい」　2022　No.105　防災の動き,「防災推進国民大会2022」の開催報告　未来につなぐ災害の経験と教訓~忘れない、伝える、活かす、備える~,BOUSAI,https://www.bousai.go.jp/kohou/kouhoubousai/r04/105/pdf/2022_vol105.pdf,https://www.bousai.go.jp/kohou/kouhoubousai/r04/105/index.html,広報誌等
036-1,20230727,国土地理院広報　第661号,領土・主権展示館の企画展「日本の島と海と空を守る仕事」,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
036-2,20230727,国土地理院広報　第661号,国内初!衛星測位分野の国際事業にJAXAと共同で参画~高精度な軌道情報の提供を通じた測位基盤の強化へ~,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
036-3,20230727,国土地理院広報　第661号,「測量の日」関連行事を実施　●「第29回くらしと測量・地図展」で関東大震災時における陸地測量部の調査図等を公開,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
036-4,20230727,国土地理院広報　第661号,第239回地震予知連絡会の開催概要,GSI,https://www.gsi.go.jp/common/000251126.pdf,https://www.gsi.go.jp/kohokocho/koho661-top_00001.html,広報誌等
037,20230713,財務省広報誌　「ファイナンス」令和5年7月号　特集　G7新潟財務大臣・中央銀行総裁会議,Road　to　Niigata　~ロジ面を中心に,MOF,https://www.mof.go.jp/public_relations/finance/202307/202307d.pdf,https://www.mof.go.jp/public_relations/finance/202307/index.html,広報誌等
038-1,20230718,大臣会見　斉藤大臣会見要旨,冒頭発言,MLIT,https://www.mlit.go.jp/report/interview/daijin230718.html,None,会見・会合記録
038-2,20230718,大臣会見　斉藤大臣会見要旨,質疑応答,MLIT,https://www.mlit.go.jp/report/interview/daijin230718.html,None,会見・会合記録
039-1,20230120,令和4年版犯罪白書　第2編　犯罪者の処遇　第4章　成人矯正,第1節　概説,MOJ,https://www.moj.go.jp/content/001387343.pdf,https://www.moj.go.jp/housouken/housouken03_00118.html,白書・青書
039-2,20230120,令和4年版犯罪白書　第2編　犯罪者の処遇　第4章　成人矯正,第4節　刑事施設の運営等,MOJ,https://www.moj.go.jp/content/001387343.pdf,https://www.moj.go.jp/housouken/housouken03_00118.html,白書・青書
039-3,20230120,令和4年版犯罪白書　第2編　犯罪者の処遇　第4章　成人矯正,第6節　官民協働による刑事施設等の整備・運営,MOJ,https://www.moj.go.jp/content/001387343.pdf,https://www.moj.go.jp/housouken/housouken03_00118.html,白書・青書
040,20220930,令和4年版外交青書　第3章　第1節　日本と国際社会の平和と安定に向けた取組　特集　平和安全法制施行5周年,None,MOFA,https://www.mofa.go.jp/mofaj/gaiko/bluebook/2022/pdf/pdfs/3_1.pdf,https://www.mofa.go.jp/mofaj/gaiko/bluebook/2022/pdf/index.html,白書・青書
041-1,20230620,令和5年版科学技術・イノベーション白書　第1部　地域から始まる科学技術・イノベーション　第3章　地域の特性や大学の強みを活かした様々な科学技術・イノベーション,第3節　山形県における鶴岡サイエンスパークの取組,MEXT,https://www.mext.go.jp/content/20230620-mxt_kouhou02-000029752_4.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpaa202301/1421221_00013.html,白書・青書
041-2,20230620,令和5年版科学技術・イノベーション白書　第1部　地域から始まる科学技術・イノベーション　第3章　地域の特性や大学の強みを活かした様々な科学技術・イノベーション,第4節　熊本県等における半導体産業強化のための大学・地域の連携,MEXT,https://www.mext.go.jp/content/20230620-mxt_kouhou02-000029752_4.pdf,https://www.mext.go.jp/b_menu/hakusho/html/hpaa202301/1421221_00013.html,白書・青書
042,20220500,6　海上交通の安全を守る,CHAPTER　II.　ふくそう海域・港内等の安全対策,MLIT,https://www.kaiho.mlit.go.jp/info/books/report2022/html/honpen/6_03_chap2.htmlhttps://www.kaiho.mlit.go.jp/info/books/report2022/html/honpen/6_05_chap4.html,None,白書・青書
043-1,20220729,令和4年版防衛白書　日本の防衛　第IV部　第6章　地域社会や環境との共生に関する取組　第1節　地域社会や環境との調和にかかる施策,6　東京2020オリンピック・パラリンピック競技大会への取組,MOD,https://www.mod.go.jp/j/press/wp/wp2022/pdf/wp2022_JP_Full_01.pdf,https://www.mod.go.jp/j/press/wp/wp2022/w2022_00.html,白書・青書
043-2,20220729,令和4年版防衛白書　日本の防衛　第IV部　第6章　地域社会や環境との共生に関する取組　第1節　地域社会や環境との調和にかかる施策,7　南極地域観測に対する支援,MOD,https://www.mod.go.jp/j/press/wp/wp2022/pdf/wp2022_JP_Full_01.pdf,https://www.mod.go.jp/j/press/wp/wp2022/w2022_00.html,白書・青書
043-3,20220729,令和4年版防衛白書　日本の防衛　第IV部　第6章　地域社会や環境との共生に関する取組　第1節　地域社会や環境との調和にかかる施策,9　その他の取組,MOD,https://www.mod.go.jp/j/press/wp/wp2022/pdf/wp2022_JP_Full_01.pdf,https://www.mod.go.jp/j/press/wp/wp2022/w2022_00.html,白書・青書
044-1,20220118,令和3年版消防白書　特集1「最近の大規模自然災害等への対応」,4　令和2年12月16日からの大雪による被害及び消防機関等の対応状況,FDMA,https://www.fdma.go.jp/publication/hakusho/r3/items/special1.pdf,https://www.fdma.go.jp/publication/hakusho/r3/63931.html,白書・青書
044-2,20220118,令和3年版消防白書　特集1「最近の大規模自然災害等への対応」,5　千葉県北西部を震源とする地震による被害及び消防機関等の対応状況,FDMA,https://www.fdma.go.jp/publication/hakusho/r3/items/special1.pdf,https://www.fdma.go.jp/publication/hakusho/r3/63931.html,白書・青書
